"event","host_city","host_country","year","round","participant_name","song","participant_country","running_order","total_points","rank","qualified","winner","event_link"
"oslo 2010","Oslo","Norway",2010,"second semi final","Ansambel Žlindra & Kalamari","Narodnozabavni Rock","Slovenia",11,6,"16th",FALSE,FALSE,"https://eurovision.tv/event/oslo-2010"
"oslo 2010","Oslo","Norway",2010,"second semi final","Niamh Kavanagh","It's For You","Ireland",12,67,"9th",TRUE,FALSE,"https://eurovision.tv/event/oslo-2010"
"oslo 2010","Oslo","Norway",2010,"second semi final","Miro","Angel Si Ti","Bulgaria",13,19,"15th",FALSE,FALSE,"https://eurovision.tv/event/oslo-2010"
"oslo 2010","Oslo","Norway",2010,"second semi final","Jon Lilygreen & The Islanders","Life Looks Better In Spring","Cyprus",14,67,"10th",TRUE,FALSE,"https://eurovision.tv/event/oslo-2010"
"oslo 2010","Oslo","Norway",2010,"second semi final","Feminnem","Lako Je Sve","Croatia",15,33,"13th",FALSE,FALSE,"https://eurovision.tv/event/oslo-2010"
"oslo 2010","Oslo","Norway",2010,"second semi final","Sofia Nizharadze ","Shine","Georgia",16,106,"3rd",TRUE,FALSE,"https://eurovision.tv/event/oslo-2010"
"oslo 2010","Oslo","Norway",2010,"second semi final","maNga","We Could Be The Same","Türkiye",17,118,"1st",TRUE,TRUE,"https://eurovision.tv/event/oslo-2010"
"moscow 2009","Moscow","Russia",2009,"second semi final","Igor Cukrov feat. Andrea","Lijepa Tena","Croatia",1,33,"13th",FALSE,FALSE,"https://eurovision.tv/event/moscow-2009"
"moscow 2009","Moscow","Russia",2009,"second semi final","Sinéad Mulvey & Black Daisy","Et Cetera","Ireland",2,52,"11th",FALSE,FALSE,"https://eurovision.tv/event/moscow-2009"
"moscow 2009","Moscow","Russia",2009,"second semi final","Intars Busulis","Probka","Latvia",3,7,"19th",FALSE,FALSE,"https://eurovision.tv/event/moscow-2009"
"moscow 2009","Moscow","Russia",2009,"second semi final","Marko Kon & Milaan","Cipela","Serbia",4,60,"10th",TRUE,FALSE,"https://eurovision.tv/event/moscow-2009"
"moscow 2009","Moscow","Russia",2009,"second semi final","Lidia Kopania","I Don't Wanna Leave","Poland",5,43,"12th",FALSE,FALSE,"https://eurovision.tv/event/moscow-2009"
"moscow 2009","Moscow","Russia",2009,"second semi final","Alexander Rybak","Fairytale","Norway",6,201,"1st",TRUE,TRUE,"https://eurovision.tv/event/moscow-2009"
"moscow 2009","Moscow","Russia",2009,"second semi final","Christina Metaxa","Firefly","Cyprus",7,32,"14th",FALSE,FALSE,"https://eurovision.tv/event/moscow-2009"
"moscow 2009","Moscow","Russia",2009,"second semi final","Kamil Mikulčík & Nela Pocisková","Leť Tmou","Slovakia",8,8,"18th",FALSE,FALSE,"https://eurovision.tv/event/moscow-2009"
"moscow 2009","Moscow","Russia",2009,"second semi final","Brinck","Believe Again","Denmark",9,69,"8th",TRUE,FALSE,"https://eurovision.tv/event/moscow-2009"
"moscow 2009","Moscow","Russia",2009,"second semi final","Quartissimo feat. Martina","Love Symphony","Slovenia",10,14,"16th",FALSE,FALSE,"https://eurovision.tv/event/moscow-2009"
"moscow 2009","Moscow","Russia",2009,"second semi final","Zoli Ádok","Dance With Me","Hungary",11,16,"15th",FALSE,FALSE,"https://eurovision.tv/event/moscow-2009"
"moscow 2009","Moscow","Russia",2009,"second semi final","AySel & Arash","Always","Azerbaijan",12,180,"2nd",TRUE,FALSE,"https://eurovision.tv/event/moscow-2009"
"moscow 2009","Moscow","Russia",2009,"second semi final","Sakis Rouvas","This Is Our Night","Greece",13,110,"4th",TRUE,FALSE,"https://eurovision.tv/event/moscow-2009"
"moscow 2009","Moscow","Russia",2009,"second semi final","Sasha Son","Love","Lithuania",14,66,"9th",TRUE,FALSE,"https://eurovision.tv/event/moscow-2009"
"moscow 2009","Moscow","Russia",2009,"second semi final","Nelly Ciobanu","Hora Din Moldova","Moldova",15,106,"5th",TRUE,FALSE,"https://eurovision.tv/event/moscow-2009"
"moscow 2009","Moscow","Russia",2009,"second semi final","Kejsi Tola","Carry Me In Your Dreams","Albania",16,73,"7th",TRUE,FALSE,"https://eurovision.tv/event/moscow-2009"
"moscow 2009","Moscow","Russia",2009,"second semi final","Svetlana Loboda","Be my Valentine! (Anti-crisis Girl)","Ukraine",17,80,"6th",TRUE,FALSE,"https://eurovision.tv/event/moscow-2009"
"moscow 2009","Moscow","Russia",2009,"second semi final","Urban Symphony","Rändajad","Estonia",18,115,"3rd",TRUE,FALSE,"https://eurovision.tv/event/moscow-2009"
"moscow 2009","Moscow","Russia",2009,"second semi final","The Toppers","Shine","Netherlands",19,11,"17th",FALSE,FALSE,"https://eurovision.tv/event/moscow-2009"
